# h w p block par seq
2319 2995 3 499 0.066822 0.034489
2319 2995 4 374 0.053132 0.035055
2319 2995 5 299 0.082988 0.035056
2319 2995 6 249 0.091269 0.035047
2319 2995 7 213 0.082316 0.035047
2319 2995 8 187 0.079912 0.035042
2319 2995 1 1497 0.175255 0.034111
2319 2995 2 748 0.093745 0.033989
2319 2995 3 499 0.066810 0.034331
2319 2995 4 374 0.053556 0.035025
2319 2995 5 299 0.085239 0.034809
2319 2995 6 249 0.088264 0.035065
2319 2995 7 213 0.094368 0.035063
2319 2995 8 187 0.077602 0.035047
2319 2995 1 1497 0.175417 0.034228
2319 2995 2 748 0.094947 0.034109
2319 2995 3 499 0.066502 0.034439
2319 2995 4 374 0.052896 0.035094
2319 2995 5 299 0.082637 0.035052
2319 2995 6 249 0.077676 0.035047
2319 2995 7 213 0.080964 0.035044
2319 2995 8 187 0.078647 0.035047
2319 2995 1 1497 0.175332 0.033206
2319 2995 2 748 0.094437 0.034266
2319 2995 3 499 0.066398 0.034565
2319 2995 4 374 0.053254 0.034312
2319 2995 5 299 0.082753 0.035044
2319 2995 6 249 0.093294 0.035014
2319 2995 7 213 0.084287 0.035045
2319 2995 8 187 0.090093 0.035046
2319 2995 1 1497 0.175299 0.034133
2319 2995 2 748 0.095007 0.034226
2319 2995 3 499 0.066451 0.034696
2319 2995 4 374 0.053165 0.035069
2319 2995 5 299 0.087400 0.034330
2319 2995 6 249 0.074846 0.035066
2319 2995 7 213 0.076683 0.035047
2319 2995 8 187 0.113232 0.035065
2319 2995 1 1497 0.175338 0.034239
2319 2995 2 748 0.095803 0.034135
2319 2995 3 499 0.067150 0.035060
2319 2995 4 374 0.053591 0.035047
2319 2995 5 299 0.084307 0.035054
2319 2995 6 249 0.088925 0.035049
2319 2995 7 213 0.087454 0.035044
2319 2995 8 187 0.088619 0.035052
2319 2995 1 1497 0.175402 0.033234
2319 2995 2 748 0.093902 0.034243
2319 2995 3 499 0.066489 0.034248
2319 2995 4 374 0.053074 0.035084
2319 2995 5 299 0.083141 0.035050
2319 2995 6 249 0.076934 0.035012
2319 2995 7 213 0.098352 0.035065
2319 2995 8 187 0.077058 0.035091
2319 2995 1 1497 0.175630 0.033914
2319 2995 2 748 0.093905 0.034230
2319 2995 3 499 0.066582 0.035118
2319 2995 4 374 0.053141 0.034580
2319 2995 5 299 0.092309 0.035068
2319 2995 6 249 0.106784 0.035330
2319 2995 7 213 0.080874 0.035045
2319 2995 8 187 0.093264 0.035044
2319 2995 1 1497 0.175055 0.033184
2319 2995 2 748 0.094290 0.034454
2319 2995 3 499 0.066082 0.034272
2319 2995 4 374 0.053023 0.034864
2319 2995 5 299 0.088948 0.035044
2319 2995 6 249 0.086605 0.035018
2319 2995 7 213 0.088460 0.035064
2319 2995 8 187 0.081462 0.035053
2319 2995 1 1497 0.175990 0.033239
2319 2995 2 748 0.094522 0.033895
2319 2995 3 499 0.066159 0.034224
2319 2995 4 374 0.054004 0.035143
2319 2995 5 299 0.087594 0.035050
2319 2995 6 249 0.083409 0.035050
2319 2995 7 213 0.086565 0.035061
2319 2995 8 187 0.067908 0.035057
2319 2995 1 1497 0.175631 0.034010
2319 2995 2 748 0.094202 0.034037
2319 2995 3 499 0.066570 0.034565
2319 2995 4 374 0.052952 0.035050
2319 2995 5 299 0.090244 0.035048
2319 2995 6 249 0.073274 0.035065
2319 2995 7 213 0.127449 0.035014
2319 2995 8 187 0.086988 0.035046
2319 2995 1 1497 0.175572 0.033222
2319 2995 2 748 0.094236 0.034267
2319 2995 3 499 0.066528 0.035051
2319 2995 4 374 0.052945 0.035044
2319 2995 5 299 0.084470 0.035018
2319 2995 6 249 0.075930 0.035049
2319 2995 7 213 0.087542 0.035051
2319 2995 8 187 0.090460 0.035052
2319 2995 1 1497 0.175793 0.034153
2319 2995 2 748 0.093984 0.034144
2319 2995 3 499 0.066549 0.034405
2319 2995 4 374 0.053651 0.035071
2319 2995 5 299 0.082965 0.035051
2319 2995 6 249 0.077836 0.035048
2319 2995 7 213 0.079677 0.035023
2319 2995 8 187 0.093779 0.035040
2319 2995 1 1497 0.175408 0.034235
2319 2995 2 748 0.094262 0.034179
2319 2995 3 499 0.065937 0.035104
2319 2995 4 374 0.053645 0.035133
2319 2995 5 299 0.084071 0.035071
2319 2995 6 249 0.090976 0.035048
2319 2995 7 213 0.085740 0.035045
2319 2995 8 187 0.075353 0.035048
2319 2995 1 1497 0.176308 0.033736
