h w p k r par_time seq_time
8192 8192 16 64 8 0.156601 0.415523
8192 8192 16 32 16 0.146302 0.416030
8192 8192 16 16 32 0.139599 0.416730
8192 8192 16 8 64 0.132995 0.429126
8192 8192 16 4 128 0.131053 0.415627
8192 8192 16 2 256 0.135838 0.420815
8192 8192 16 1 512 0.132591 0.418788
8192 8192 16 4 128 0.131276 0.415632
8192 8192 16 128 2 0.193907 0.415397
8192 8192 16 128 4 0.174293 0.415834
8192 8192 16 64 8 0.156170 0.416053
8192 8192 16 32 16 0.146271 0.415567
8192 8192 16 16 32 0.141828 0.428718
8192 8192 16 8 64 0.133391 0.417659
8192 8192 16 4 128 0.134606 0.415675
8192 8192 16 2 256 0.136069 0.419189
8192 8192 16 1 512 0.139034 0.428792
8192 8192 16 4 128 0.133842 0.417889
8192 8192 16 128 2 0.199718 0.428831
8192 8192 16 128 4 0.177872 0.428759
8192 8192 16 64 8 0.155316 0.415345
8192 8192 16 32 16 0.143972 0.415604
8192 8192 16 16 32 0.139358 0.416087
8192 8192 16 8 64 0.133325 0.417953
8192 8192 16 4 128 0.135531 0.428707
8192 8192 16 2 256 0.139341 0.415547
8192 8192 16 1 512 0.134232 0.415718
8192 8192 16 4 128 0.132792 0.429069
8192 8192 16 128 2 0.198470 0.428779
8192 8192 16 128 4 0.177960 0.428871
8192 8192 16 64 8 0.155014 0.416718
8192 8192 16 32 16 0.146173 0.415417
8192 8192 16 16 32 0.140142 0.416797
8192 8192 16 8 64 0.133701 0.428870
8192 8192 16 4 128 0.132351 0.415758
8192 8192 16 2 256 0.137185 0.428863
8192 8192 16 1 512 0.131655 0.415535
8192 8192 16 4 128 0.132773 0.418324
8192 8192 16 128 2 0.193412 0.427433
8192 8192 16 128 4 0.172989 0.420212
8192 8192 16 64 8 0.158100 0.428746
8192 8192 16 32 16 0.146306 0.415683
8192 8192 16 16 32 0.137455 0.416261
8192 8192 16 8 64 0.132063 0.415883
8192 8192 16 4 128 0.134778 0.428777
8192 8192 16 2 256 0.136842 0.415886
8192 8192 16 1 512 0.137233 0.417824
8192 8192 16 4 128 0.131177 0.415665
8192 8192 16 128 2 0.198294 0.428675
8192 8192 16 128 4 0.177659 0.428934
8192 8192 16 64 8 0.157477 0.416029
8192 8192 16 32 16 0.146379 0.418555
8192 8192 16 16 32 0.140861 0.415617
8192 8192 16 8 64 0.132187 0.415405
8192 8192 16 4 128 0.133156 0.415138
8192 8192 16 2 256 0.135398 0.415620
8192 8192 16 1 512 0.132693 0.416340
8192 8192 16 4 128 0.132405 0.415621
8192 8192 16 128 2 0.197526 0.428928
8192 8192 16 128 4 0.178397 0.428851
8192 8192 16 64 8 0.155927 0.415667
8192 8192 16 32 16 0.143670 0.415921
8192 8192 16 16 32 0.140779 0.417528
8192 8192 16 8 64 0.130548 0.418681
8192 8192 16 4 128 0.133566 0.418461
8192 8192 16 2 256 0.134573 0.416060
