w h p k r par_time seq_time
2048 2048 8 128 256 0.879853 0.435986
2048 2048 2 32 256 0.251219 0.216110
1024 1024 4 8 256 0.064922 0.053557
512 512 8 64 4 0.819863 0.023481
1024 1024 2 4 4 0.198329 0.054020
2048 2048 4 16 32 0.109056 0.215467
4096 4096 4 64 4 0.499143 0.866474
2048 2048 2 32 16 0.177605 0.214258
1024 1024 2 256 64 0.062280 0.053924
4096 4096 2 2 128 0.877136 0.864051
8192 8192 8 2 64 23.930050 6.904726
512 512 4 128 128 0.016048 0.013654
2048 2048 8 256 8 1.859953 0.435609
4096 4096 2 256 2 0.949184 0.863798
1024 1024 2 2 64 0.066652 0.053471
8192 8192 8 16 4 48.710060 6.975956
8192 8192 2 4 2 26.300456 3.454748
512 512 4 64 4 0.019569 0.013457
1024 1024 8 2 2 10.329949 0.103542
4096 4096 4 64 128 0.912093 0.869454
1024 1024 4 64 128 0.064143 0.053578
4096 4096 8 64 64 3.829856 1.736686
4096 4096 8 8 32 4.529983 1.733806
2048 2048 8 8 8 3.099857 0.423855
2048 2048 4 16 16 0.117156 0.215555
4096 4096 4 32 16 0.410357 0.869338
1024 1024 8 128 16 0.499943 0.103515
4096 4096 2 32 128 0.846259 0.866548
1024 1024 4 128 32 0.061643 0.053938
1024 1024 8 4 8 1.499813 0.103433
1024 1024 4 16 8 0.040375 0.053509
4096 4096 4 64 32 0.615401 0.863702
8192 8192 4 32 16 1.636958 3.480850
4096 4096 4 64 16 0.393184 0.863997
1024 1024 4 8 8 0.048789 0.053888
1024 1024 8 32 16 0.679948 0.103538
4096 4096 8 8 16 7.000004 1.739978
2048 2048 4 32 8 0.121129 0.214098
4096 4096 2 4 8 2.035759 0.866752
512 512 4 16 4 0.014981 0.013464
4096 4096 4 32 4 0.594014 0.866522
1024 1024 4 128 128 0.061539 0.054028
1024 1024 4 8 32 0.035417 0.053895
4096 4096 4 4 64 0.489539 0.866430
4096 4096 2 64 128 0.931528 0.866817
1024 1024 2 8 8 0.083743 0.053478
2048 2048 4 128 4 0.134576 0.213974
1024 1024 8 4 128 0.580000 0.103843
2048 2048 4 8 16 0.137773 0.214099
2048 2048 2 8 128 0.174387 0.213919
1024 1024 4 8 32 0.035922 0.053960
2048 2048 2 128 4 0.199932 0.215916
4096 4096 8 32 4 8.610011 1.734052
512 512 8 8 32 0.259957 0.023448
2048 2048 2 32 64 0.214182 0.216007
4096 4096 4 16 64 0.392524 0.869469
512 512 4 32 64 0.017521 0.013485
4096 4096 4 16 8 0.552740 0.864164
2048 2048 2 128 64 0.236901 0.214016
512 512 4 4 2 0.050554 0.013368
4096 4096 2 4 64 0.843112 0.863787
2048 2048 4 64 64 0.237117 0.215451
1024 1024 4 128 64 0.062790 0.054020
1024 1024 2 8 64 0.048559 0.053874
1024 1024 4 4 64 0.037590 0.053528
1024 1024 2 64 64 0.063255 0.053462
4096 4096 4 128 8 0.421465 0.863568
8192 8192 4 4 4 8.065979 3.484646
4096 4096 4 4 32 0.574613 0.863675
2048 2048 4 8 128 0.170609 0.215560
4096 4096 2 8 32 0.799923 0.869579
4096 4096 4 64 16 0.393835 0.863710
1024 1024 4 128 4 0.062606 0.053664
2048 2048 4 16 32 0.109287 0.215684
2048 2048 4 64 16 0.171462 0.214030
4096 4096 8 128 128 4.219933 1.734277
1024 1024 4 64 16 0.059758 0.053989
2048 2048 8 4 4 10.639944 0.435658
2048 2048 4 64 32 0.214453 0.216207
4096 4096 2 32 4 1.075010 0.869786
8192 8192 2 8 128 2.691703 3.486987
2048 2048 2 2 128 0.224569 0.214005
1024 1024 4 128 2 0.052060 0.053761
2048 2048 4 16 8 0.140843 0.216036
4096 4096 8 16 16 5.679950 1.733938
1024 1024 4 4 16 0.050034 0.053573
1024 1024 4 32 128 0.063946 0.053923
1024 1024 2 64 8 0.051115 0.053609
2048 2048 4 32 64 0.211288 0.214058
4096 4096 4 8 32 0.462230 0.870083
512 512 8 4 32 0.399946 0.023351
512 512 4 4 128 0.018425 0.013467
1024 1024 4 8 8 0.050023 0.053935
4096 4096 8 64 64 3.839998 1.736793
4096 4096 2 256 8 0.705056 0.866824
2048 2048 4 4 32 0.144513 0.215941
8192 8192 8 64 4 22.100055 6.971205
1024 1024 8 2 16 1.479898 0.103516
4096 4096 4 256 32 0.900395 0.869503
2048 2048 2 128 32 0.230631 0.215651
4096 4096 8 2 256 3.990048 1.733810
2048 2048 8 64 4 3.059896 0.424092
2048 2048 8 64 16 1.440023 0.435901
1024 1024 4 8 4 0.070669 0.053936
4096 4096 4 16 128 0.623495 0.869793
4096 4096 8 32 64 3.870004 1.739924
4096 4096 4 4 4 1.847080 0.863698
4096 4096 2 16 256 0.861365 0.869989
512 512 4 64 16 0.017770 0.013484
1024 1024 2 16 32 0.047097 0.054014
1024 1024 8 64 64 0.269914 0.103507
1024 1024 2 4 16 0.084542 0.053579
1024 1024 8 16 16 0.499858 0.103856
2048 2048 8 32 256 0.939805 0.424025
1024 1024 4 16 64 0.057455 0.054067
2048 2048 4 128 128 0.237979 0.215566
1024 1024 4 32 8 0.035012 0.053882
8192 8192 4 128 128 3.464692 3.486289
512 512 2 8 256 0.017391 0.013517
2048 2048 4 4 8 0.267505 0.215533
8192 8192 4 32 128 2.394123 3.452583
8192 8192 4 128 64 3.094412 3.453052
4096 4096 8 4 8 22.040025 1.739779
4096 4096 8 256 8 4.089939 1.740071
1024 1024 4 128 128 0.061619 0.054031
4096 4096 2 8 4 2.013244 0.863905
1024 1024 4 2 128 0.042379 0.053989
8192 8192 4 128 2 2.247966 3.480784
2048 2048 4 2 2 1.547318 0.215498
512 512 4 16 8 0.012195 0.013436
1024 1024 2 32 128 0.064226 0.053950
2048 2048 4 256 32 0.237719 0.213894
1024 1024 8 128 16 0.499830 0.103851
8192 8192 4 16 2 4.608346 3.453152
2048 2048 8 16 64 1.219954 0.424068
2048 2048 2 128 128 0.242748 0.215533
512 512 2 16 4 0.023289 0.013437
4096 4096 2 64 8 0.724950 0.863540
8192 8192 4 8 4 4.512025 3.452887
4096 4096 4 32 8 0.473868 0.863725
512 512 8 8 2 2.099923 0.023351
8192 8192 2 16 8 3.956347 3.454436
512 512 4 4 32 0.014377 0.013371
4096 4096 4 8 64 0.417734 0.863749
8192 8192 4 8 64 1.666474 3.485025
2048 2048 2 256 8 0.232106 0.213803
