h w p k r par_time seq_time
8192 32768 16 256 4 0.722173 1.625367
8192 32768 16 256 8 0.670144 1.601767
8192 32768 16 256 16 0.764410 1.602287
8192 32768 16 256 32 0.973592 1.601831
8192 32768 16 256 64 1.375632 1.601923
8192 32768 16 256 128 1.691259 1.600927
8192 32768 16 256 256 1.881809 1.601165
8192 32768 16 256 512 1.884370 1.624379
8192 32768 16 256 2 0.842416 1.625519
8192 32768 16 256 4 0.718047 1.600881
8192 32768 16 256 8 0.667307 1.601629
8192 32768 16 256 16 0.771424 1.601101
8192 32768 16 256 32 0.957744 1.601382
8192 32768 16 256 64 1.378697 1.601493
8192 32768 16 256 128 1.688320 1.601004
8192 32768 16 256 256 1.879217 1.600618
8192 32768 16 256 512 1.869144 1.592911
8192 32768 16 256 2 0.840805 1.601091
8192 32768 16 256 4 0.720377 1.625298
8192 32768 16 256 8 0.680036 1.600772
8192 32768 16 256 16 0.770409 1.600912
8192 32768 16 256 32 0.982661 1.624891
8192 32768 16 256 64 1.389888 1.625529
8192 32768 16 256 128 1.695283 1.600655
8192 32768 16 256 256 1.887481 1.601942
8192 32768 16 256 512 1.875433 1.601733
8192 32768 16 256 2 0.838075 1.601033
8192 32768 16 256 4 0.718528 1.601336
8192 32768 16 256 8 0.680861 1.601142
8192 32768 16 256 16 0.774503 1.600765
8192 32768 16 256 32 0.969623 1.601292
8192 32768 16 256 64 1.384479 1.600765
8192 32768 16 256 128 1.694861 1.601562
8192 32768 16 256 256 1.879674 1.602109
8192 32768 16 256 512 1.881494 1.623511
8192 32768 16 256 2 0.833096 1.603483
8192 32768 16 256 4 0.716129 1.602429
8192 32768 16 256 8 0.671988 1.600864
8192 32768 16 256 16 0.771636 1.601559
8192 32768 16 256 32 0.970054 1.626120
8192 32768 16 256 64 1.382746 1.600949
8192 32768 16 256 128 1.689996 1.601775
8192 32768 16 256 256 1.875827 1.602854
8192 32768 16 256 512 1.844735 1.602425
8192 32768 16 256 2 0.840477 1.602201
8192 32768 16 256 4 0.716843 1.602154
8192 32768 16 256 8 0.677818 1.601130
8192 32768 16 256 16 0.772456 1.600884
8192 32768 16 256 32 0.966167 1.601427
8192 32768 16 256 64 1.379389 1.599813
8192 32768 16 256 128 1.697013 1.625242
8192 32768 16 256 256 1.873746 1.601662
8192 32768 16 256 512 1.833987 1.600873
8192 32768 16 256 2 0.823158 1.602715
8192 32768 16 256 4 0.712606 1.602653
8192 32768 16 256 8 0.679111 1.603513
